jd_id,jd_name,role_category,jd_source,jd_text,requirements_summary,core_skills,experience_requirement
101,Frontend Developer,frontend,src/mock/cvScreeningMockData.ts:MOCK_JOB_DESCRIPTIONS_SOURCE,"Job title: Frontend Developer
Role category: frontend
Level: Junior
Required skills: React, TypeScript, CSS, REST API
Preferred skills: Next.js, Figma, Playwright
Required experience years: 1 years
Education requirement: Bachelor in Computer Science or equivalent experience
Language requirements: English
Responsibilities: Build responsive UI; Integrate REST APIs; Improve accessibility
Requirements: Strong JavaScript fundamentals; Can translate Figma designs into UI; Understands component state
Nice to have: Design system experience, Basic testing experience
Keywords: frontend, react, typescript, css",Strong JavaScript fundamentals; Can translate Figma designs into UI; Understands component state,"React, TypeScript, CSS, REST API",1 years
102,Backend Developer,backend,src/mock/cvScreeningMockData.ts:MOCK_JOB_DESCRIPTIONS_SOURCE,"Job title: Backend Developer
Role category: backend
Level: Middle
Required skills: Python, FastAPI, PostgreSQL, Docker
Preferred skills: Redis, Kubernetes, AWS
Required experience years: 3 years
Education requirement: Bachelor in Software Engineering or related field
Language requirements: English
Responsibilities: Design APIs; Optimize database queries; Maintain deployment pipelines
Requirements: 3+ years backend experience; Production API ownership; Database schema design
Nice to have: Cloud deployment, Message queues
Keywords: backend, fastapi, postgresql, docker",3+ years backend experience; Production API ownership; Database schema design,"Python, FastAPI, PostgreSQL, Docker",3 years
103,Full Stack Developer,fullstack,src/mock/cvScreeningMockData.ts:MOCK_JOB_DESCRIPTIONS_SOURCE,"Job title: Full Stack Developer
Role category: fullstack
Level: Middle
Required skills: React, Node.js, SQL, Docker
Preferred skills: GraphQL, Next.js, PostgreSQL
Required experience years: 3 years
Education requirement: Bachelor or equivalent portfolio
Language requirements: English
Responsibilities: Build end-to-end features; Own API contracts; Review pull requests
Requirements: Frontend and backend delivery experience; Database modeling; CI/CD basics
Nice to have: Microservices, Server-side rendering
Keywords: full stack, react, node, sql",Frontend and backend delivery experience; Database modeling; CI/CD basics,"React, Node.js, SQL, Docker",3 years
104,Data Engineer,data_engineering,src/mock/cvScreeningMockData.ts:MOCK_JOB_DESCRIPTIONS_SOURCE,"Job title: Data Engineer
Role category: data_engineering
Level: Senior
Required skills: Python, SQL, Airflow, Spark
Preferred skills: dbt, Kafka, AWS Glue
Required experience years: 5 years
Education requirement: Bachelor in Computer Science, Data Engineering, or related field
Language requirements: English
Responsibilities: Build data pipelines; Maintain data warehouse models; Monitor data quality
Requirements: 5+ years data engineering; Batch and streaming pipeline experience; Strong SQL optimization
Nice to have: Lakehouse architecture, Cost optimization
Keywords: data engineer, etl, airflow, spark",5+ years data engineering; Batch and streaming pipeline experience; Strong SQL optimization,"Python, SQL, Airflow, Spark",5 years
105,Data Analyst,data_analytics,src/mock/cvScreeningMockData.ts:MOCK_JOB_DESCRIPTIONS_SOURCE,"Job title: Data Analyst
Role category: data_analytics
Level: Junior
Required skills: SQL, Excel, Power BI, Statistics
Preferred skills: Python, Tableau
Required experience years: 1 years
Education requirement: Bachelor in Business, Economics, Statistics, or related field
Language requirements: Vietnamese, English
Responsibilities: Create dashboards; Analyze sales funnels; Prepare weekly reports
Requirements: Can write SQL joins; Understands descriptive statistics; Clear business communication
Nice to have: Retail domain experience
Keywords: data analyst, power bi, sql, dashboard",Can write SQL joins; Understands descriptive statistics; Clear business communication,"SQL, Excel, Power BI, Statistics",1 years
106,Machine Learning Engineer,ai_ml,src/mock/cvScreeningMockData.ts:MOCK_JOB_DESCRIPTIONS_SOURCE,"Job title: Machine Learning Engineer
Role category: ai_ml
Level: Middle
Required skills: Python, PyTorch, scikit-learn, ML pipelines
Preferred skills: MLOps, Docker, FastAPI
Required experience years: 3 years
Education requirement: Bachelor or Master in AI, CS, Mathematics, or related field
Language requirements: English
Responsibilities: Train models; Deploy inference services; Evaluate model quality
Requirements: Machine learning project experience; Experiment tracking; Model validation
Nice to have: NLP, Vector search
Keywords: machine learning, pytorch, mlops, python",Machine learning project experience; Experiment tracking; Model validation,"Python, PyTorch, scikit-learn, ML pipelines",3 years
107,AI Engineer,ai_ml,src/mock/cvScreeningMockData.ts:MOCK_JOB_DESCRIPTIONS_SOURCE,"Job title: AI Engineer
Role category: ai_ml
Level: Senior
Required skills: Python, LLM, RAG, Vector database
Preferred skills: LangChain, OpenAI API, FastAPI
Required experience years: 5 years
Education requirement: Bachelor or Master in CS/AI or equivalent AI delivery experience
Language requirements: English
Responsibilities: Build AI assistants; Design retrieval pipelines; Evaluate hallucination risks
Requirements: Production AI system experience; Prompt and retrieval evaluation; Strong Python
Nice to have: Security review for AI apps
Keywords: ai engineer, rag, llm, vector database",Production AI system experience; Prompt and retrieval evaluation; Strong Python,"Python, LLM, RAG, Vector database",5 years
108,DevOps Engineer,cloud_devops,src/mock/cvScreeningMockData.ts:MOCK_JOB_DESCRIPTIONS_SOURCE,"Job title: DevOps Engineer
Role category: cloud_devops
Level: Middle
Required skills: Docker, Kubernetes, CI/CD, Linux
Preferred skills: Terraform, Prometheus, AWS
Required experience years: 3 years
Education requirement: Bachelor or equivalent infrastructure experience
Language requirements: English
Responsibilities: Maintain clusters; Automate releases; Monitor services
Requirements: Container orchestration experience; Incident response; Scripting
Nice to have: GitOps, Cost monitoring
Keywords: devops, kubernetes, docker, cicd",Container orchestration experience; Incident response; Scripting,"Docker, Kubernetes, CI/CD, Linux",3 years
109,Mobile Developer,mobile,src/mock/cvScreeningMockData.ts:MOCK_JOB_DESCRIPTIONS_SOURCE,"Job title: Mobile Developer
Role category: mobile
Level: Middle
Required skills: Flutter, Dart, REST API, Firebase
Preferred skills: Swift, Kotlin, CI/CD
Required experience years: 2 years
Education requirement: Bachelor or equivalent mobile portfolio
Language requirements: English
Responsibilities: Build mobile features; Fix production crashes; Publish app releases
Requirements: Mobile app delivery experience; State management; API integration
Nice to have: Native iOS/Android experience
Keywords: mobile, flutter, dart, firebase",Mobile app delivery experience; State management; API integration,"Flutter, Dart, REST API, Firebase",2 years
110,QA Engineer,qa,src/mock/cvScreeningMockData.ts:MOCK_JOB_DESCRIPTIONS_SOURCE,"Job title: QA Engineer
Role category: qa
Level: Junior
Required skills: Manual testing, Test cases, API testing, SQL
Preferred skills: Playwright, Postman, Automation testing
Required experience years: 1 years
Education requirement: Bachelor in IT or related field
Language requirements: Vietnamese, English
Responsibilities: Write test cases; Validate releases; Report defects
Requirements: Understands SDLC; Can test APIs; Clear bug reports
Nice to have: Automation basics
Keywords: qa, testing, api testing, sql",Understands SDLC; Can test APIs; Clear bug reports,"Manual testing, Test cases, API testing, SQL",1 years
